column_name,category
searchid,metadata
hotel_name,metadata
clusterchain,metadata
clusterbrand,metadata
clustersubbrand,metadata
bookingshare,booking_context
pricepernight,price_rating
rating,price_rating
ratingscount,price_rating
starcategory,metadata
mealtype,metadata
cancelable,metadata
distancetoreference,distances
distancetocity,distances
distancetounderground,distances
distancetobeach,distances
distancetobathing,distances
distancetoairport,distances
distancetotrainstation,distances
roomcategory,metadata
roomcategoryid,metadata
roomconfiguration,metadata
startson,booking_context
endson,booking_context
requesttimestamp,booking_context
numrooms,booking_context
numadults,booking_context
numchildren,booking_context
nights,booking_context
duration,booking_context
daystostart,booking_context
daystostart_bucket,booking_context
locationtype,metadata
locationname,metadata
locationid,metadata
clusterid,metadata
price,price_rating
popular_location_rank,price_rating
deviceoutput,metadata
ltr_score,metadata
24-Stunden-Rezeption,safety_health
24-Stunden-Sicherheitspersonal,safety_health
Abendessen,food_beverage
Abenteuer,sport_recreation
Adapter/Ladegeräte,room_amenities
Aerobic,sport_recreation
American Express,payment_methods
Animation (Erwachsene),entertainment
Aparthotel,style_theme
Arabisch,languages
Arbeitsbereich für Arbeit mit Laptop geeignet,business_events
Assistenztiere sind von Gebühren/ Restriktionen ausgeschlossen,pets
Aufdeckservice,room_amenities
Aufzug,other_amenity
Ausflugsinformationen,other_amenity
Ausgewiesene Raucherbereiche,other_amenity
Autovermietung,transport_parking
Außenpool,wellness_spa
Außenpool (saisonal),wellness_spa
Baby-/ Kinderbetreuung,family_kids
Babybadewanne,room_amenities
Backofen,other_amenity
Bademantel,room_amenities
Badewanne oder Dusche,room_amenities
Balkon,room_amenities
Bankettsaal,other_amenity
Bar,food_beverage
Barrierefrei,food_beverage
Barrierefreie Dusche,food_beverage
Beheizter Pool,wellness_spa
Behindertenfreundlich,accessibility
Behindertengerechte Parkplätze,accessibility
Besichtigungstouren,other_amenity
Bestätigte Corona-Schutzmaßnahmen,safety_health
Betreute Kinderaktivitäten,family_kids
Bettwäsche,room_amenities
Bibliothek,other_amenity
Bidet,other_amenity
Billard,sport_recreation
Bosnisch,languages
Boutique-/Designhotel,style_theme
Boutiquen/Läden,style_theme
Brettspiele/Puzzle,family_kids
Budgetorientiert,pets
Buggys,family_kids
Businesscenter,business_events
Businesshotel,business_events
Bücher,other_amenity
Bügeleinrichtungen,other_amenity
Bügelservice,other_amenity
Café,food_beverage
Cash (Bargeld),food_beverage
Computerarbeitsplatz,business_events
Concierge Service,other_amenity
Dachterrasse,other_amenity
Dampfbad,room_amenities
Darts,sport_recreation
Daunenkissen,other_amenity
Deckenventilator,room_amenities
Desinfektion von Geschirr,safety_health
Deutsch,languages
Diners Club,payment_methods
Discover,payment_methods
Dusch-Badewannen Kombination,room_amenities
Dusche,other_amenity
Duschhocker,other_amenity
Eigenes Badezimmer,room_amenities
Einzeln verpackte Essenspakete verfügbar,food_beverage
Englisch,languages
Espressomaschine,other_amenity
Essbereich,other_amenity
Essen kann auf das Zimmer geliefert werden,room_amenities
Esstisch,other_amenity
Eurocard/Mastercard,payment_methods
Express-Check-in/-out,other_amenity
Fahrradstellplatz,sport_recreation
Fahrradtouren,sport_recreation
Fahrradvermietung,sport_recreation
Familie,family_kids
Familienzimmer vorhanden,room_amenities
Fax/Kopierer,business_events
Feuerlöscher,safety_health
Filme,other_amenity
Fitness,sport_recreation
Fitnesseinrichtung,sport_recreation
Flachbild-TV,room_amenities
Flughafenshuttle,transport_parking
